Name,Version,Price,PriceCurrency,Availability,Model,Link
Keychron K2 Max QMK Wireless Mechanical Keyboard,Fully Assembled (Hot-Swappable) / RGB Backlight Aluminum Frame / Keychron Super Red,119.00,USD,InStock,K2M-J1,https://www.keychron.com/products/keychron-k2-max-qmk-wireless-mechanical-keyboard?variant=41767492288601
Keychron K2 Max QMK Wireless Mechanical Keyboard,Fully Assembled (Hot-Swappable) / RGB Backlight Aluminum Frame / Keychron Super Brown,119.00,USD,InStock,K2M-J3,https://www.keychron.com/products/keychron-k2-max-qmk-wireless-mechanical-keyboard?variant=41767492321369
Keychron K2 Max QMK Wireless Mechanical Keyboard,Fully Assembled (Hot-Swappable) / RGB Backlight Aluminum Frame / Keychron Super Banana,119.00,USD,InStock,K2M-J4,https://www.keychron.com/products/keychron-k2-max-qmk-wireless-mechanical-keyboard?variant=41767492354137
Keychron K2 Max QMK Wireless Mechanical Keyboard,Fully Assembled / White Backlight / Keychron Super Red,79.00,USD,OutOfStock,K2M-A1,https://www.keychron.com/products/keychron-k2-max-qmk-wireless-mechanical-keyboard?variant=41767535902809
Keychron K2 Max QMK Wireless Mechanical Keyboard,Fully Assembled / White Backlight / Keychron Super Brown,79.00,USD,OutOfStock,K2M-A3,https://www.keychron.com/products/keychron-k2-max-qmk-wireless-mechanical-keyboard?variant=41767535935577
Keychron K2 Max QMK Wireless Mechanical Keyboard,Fully Assembled / White Backlight / Keychron Super Banana,79.00,USD,OutOfStock,K2M-A4,https://www.keychron.com/products/keychron-k2-max-qmk-wireless-mechanical-keyboard?variant=41767535968345
Keychron K2 Max QMK Wireless Mechanical Keyboard,Fully Assembled / RGB Backlight / Keychron Super Red,89.00,USD,OutOfStock,K2M-B1,https://www.keychron.com/products/keychron-k2-max-qmk-wireless-mechanical-keyboard?variant=41767535706201
Keychron K2 Max QMK Wireless Mechanical Keyboard,Fully Assembled / RGB Backlight / Keychron Super Brown,89.00,USD,OutOfStock,K2M-B3,https://www.keychron.com/products/keychron-k2-max-qmk-wireless-mechanical-keyboard?variant=41767535738969
Keychron K2 Max QMK Wireless Mechanical Keyboard,Fully Assembled / RGB Backlight / Keychron Super Banana,89.00,USD,OutOfStock,K2M-B4,https://www.keychron.com/products/keychron-k2-max-qmk-wireless-mechanical-keyboard?variant=41767535771737
Keychron K2 Max QMK Wireless Mechanical Keyboard,Fully Assembled / RGB Backlight Aluminum Frame / Keychron Super Red,99.00,USD,OutOfStock,K2M-C1,https://www.keychron.com/products/keychron-k2-max-qmk-wireless-mechanical-keyboard?variant=41767535804505
